username,repo_name,stars,repo_url
public-apis,public-apis,247000,https://github.com/public-apis/public-apis
neovim,neovim,67200,https://github.com/neovim/neovim
tiangolo,fastapi,60000,https://github.com/tiangolo/fastapi
strapi,strapi,54700,https://github.com/strapi/strapi
hoppscotch,hoppscotch,52200,https://github.com/hoppscotch/hoppscotch
ocornut,imgui,48600,https://github.com/ocornut/imgui
meilisearch,meilisearch,37500,https://github.com/meilisearch/meilisearch
slatedocs,slate,35300,https://github.com/slatedocs/slate
hasura,graphql-engine,30000,https://github.com/hasura/graphql-engine
Kong,insomnia,28900,https://github.com/Kong/insomnia
ccxt,ccxt,28600,https://github.com/ccxt/ccxt
Binaryify,NeteaseCloudMusicApi,28500,https://github.com/Binaryify/NeteaseCloudMusicApi
httpie,httpie,28300,https://github.com/httpie/httpie
trpc,trpc,26900,https://github.com/trpc/trpc
YMFE,yapi,26200,https://github.com/YMFE/yapi
encode,django-rest-framework,25900,https://github.com/encode/django-rest-framework
littlecodersh,ItChat,24000,https://github.com/littlecodersh/ItChat
directus,directus,22100,https://github.com/directus/directus
microsoft,api-guidelines,21600,https://github.com/microsoft/api-guidelines
shieldfy,API-Security-Checklist,21000,https://github.com/shieldfy/API-Security-Checklist
