username,repo_name,stars,repo_url
jwasham,coding-interview-university,261000,https://github.com/jwasham/coding-interview-university
trekhleb,javascript-algorithms,172000,https://github.com/trekhleb/javascript-algorithms
CyC2018,CS-Notes,165000,https://github.com/CyC2018/CS-Notes
TheAlgorithms,Python,161000,https://github.com/TheAlgorithms/Python
yangshun,tech-interview-handbook,92800,https://github.com/yangshun/tech-interview-handbook
kdn251,interviews,60100,https://github.com/kdn251/interviews
TheAlgorithms,Java,52600,https://github.com/TheAlgorithms/Java
azl397985856,leetcode,51600,https://github.com/azl397985856/leetcode
algorithm-visualizer,algorithm-visualizer,43100,https://github.com/algorithm-visualizer/algorithm-visualizer
youngyangyang04,leetcode-master,40000,https://github.com/youngyangyang04/leetcode-master
halfrost,LeetCode-Go,29900,https://github.com/halfrost/LeetCode-Go
huihut,interview,29400,https://github.com/huihut/interview
donnemartin,interactive-coding-challenges,27500,https://github.com/donnemartin/interactive-coding-challenges
TheAlgorithms,JavaScript,27000,https://github.com/TheAlgorithms/JavaScript
crossoverJie,JCSprout,27000,https://github.com/crossoverJie/JCSprout
TheAlgorithms,C-Plus-Plus,24800,https://github.com/TheAlgorithms/C-Plus-Plus
keon,algorithms,22700,https://github.com/keon/algorithms
mxgmn,WaveFunctionCollapse,21500,https://github.com/mxgmn/WaveFunctionCollapse
trekhleb,homemade-machine-learning,21500,https://github.com/trekhleb/homemade-machine-learning
AtsushiSakai,PythonRobotics,19100,https://github.com/AtsushiSakai/PythonRobotics
