username,repo_name,stars,repo_url
localstack,localstack,47600,https://github.com/localstack/localstack
serverless,serverless,44900,https://github.com/serverless/serverless
bregman-arie,devops-exercises,44600,https://github.com/bregman-arie/devops-exercises
donnemartin,data-science-ipython-notebooks,25300,https://github.com/donnemartin/data-science-ipython-notebooks
serverless-stack,sst,16900,https://github.com/serverless-stack/sst
pulumi,pulumi,16500,https://github.com/pulumi/pulumi
kubernetes-sigs,kubespray,14200,https://github.com/kubernetes-sigs/kubespray
ramitsurana,awesome-kubernetes,14000,https://github.com/ramitsurana/awesome-kubernetes
aws,aws-cli,14000,https://github.com/aws/aws-cli
getsops,sops,13300,https://github.com/getsops/sops
donnemartin,awesome-aws,11600,https://github.com/donnemartin/awesome-aws
caprover,caprover,10600,https://github.com/caprover/caprover
GoogleCloudPlatform,terraformer,10400,https://github.com/GoogleCloudPlatform/terraformer
aws,aws-cdk,10400,https://github.com/aws/aws-cdk
apereo,cas,10200,https://github.com/apereo/cas
aws,chalice,9800,https://github.com/aws/chalice
infracost,infracost,9300,https://github.com/infracost/infracost
aws-amplify,amplify-js,9200,https://github.com/aws-amplify/amplify-js
google,go-cloud,9100,https://github.com/google/go-cloud
aws,serverless-application-model,9100,https://github.com/aws/serverless-application-model
