username,repo_name,stars,repo_url
sindresorhus,awesome,261000,https://github.com/sindresorhus/awesome
vinta,awesome-python,173000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,139000,https://github.com/awesome-selfhosted/awesome-selfhosted
avelino,awesome-go,104000,https://github.com/avelino/awesome-go
trimstray,the-book-of-secret-knowledge,102000,https://github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,74800,https://github.com/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,70900,https://github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,66700,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,61800,https://github.com/jaywcjlove/awesome-mac
enaqx,awesome-react,56600,https://github.com/enaqx/awesome-react
DopplerHQ,awesome-interview-questions,56200,https://github.com/DopplerHQ/awesome-interview-questions
MunGell,awesome-for-beginners,52900,https://github.com/MunGell/awesome-for-beginners
sindresorhus,awesome-nodejs,51800,https://github.com/sindresorhus/awesome-nodejs
prakhar1989,awesome-courses,48000,https://github.com/prakhar1989/awesome-courses
Solido,awesome-flutter,47500,https://github.com/Solido/awesome-flutter
fffaraz,awesome-cpp,47300,https://github.com/fffaraz/awesome-cpp
wasabeef,awesome-android-ui,46800,https://github.com/wasabeef/awesome-android-ui
binhnguyennus,awesome-scalability,45800,https://github.com/binhnguyennus/awesome-scalability
vsouza,awesome-ios,43300,https://github.com/vsouza/awesome-ios
tiimgreen,github-cheat-sheet,41600,https://github.com/tiimgreen/github-cheat-sheet
