username,repo_name,stars,repo_url
bregman-arie,devops-exercises,44600,https://github.com/bregman-arie/devops-exercises
pulumi,pulumi,16500,https://github.com/pulumi/pulumi
microsoft,recommenders,16000,https://github.com/microsoft/recommenders
ramitsurana,awesome-kubernetes,14000,https://github.com/ramitsurana/awesome-kubernetes
getsops,sops,13300,https://github.com/getsops/sops
Azure,azure-quickstart-templates,13100,https://github.com/Azure/azure-quickstart-templates
caprover,caprover,10600,https://github.com/caprover/caprover
infracost,infracost,9300,https://github.com/infracost/infracost
google,go-cloud,9100,https://github.com/google/go-cloud
microsoft,computervision-recipes,9000,https://github.com/microsoft/computervision-recipes
prowler-cloud,prowler,8300,https://github.com/prowler-cloud/prowler
microsoft,azuredatastudio,7200,https://github.com/microsoft/azuredatastudio
Netflix,metaflow,6800,https://github.com/Netflix/metaflow
midwayjs,midway,6700,https://github.com/midwayjs/midway
node-formidable,formidable,6700,https://github.com/node-formidable/formidable
thangchung,clean-code-dotnet,6200,https://github.com/thangchung/clean-code-dotnet
aquasecurity,tfsec,6000,https://github.com/aquasecurity/tfsec
budtmo,docker-android,5900,https://github.com/budtmo/docker-android
bridgecrewio,checkov,5700,https://github.com/bridgecrewio/checkov
milanm,DevOps-Roadmap,5500,https://github.com/milanm/DevOps-Roadmap
