username,repo_name,stars,repo_url
CyC2018,CS-Notes,165000,https://github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,109000,https://github.com/practical-tutorials/project-based-learning
azl397985856,leetcode,51600,https://github.com/azl397985856/leetcode
fffaraz,awesome-cpp,47300,https://github.com/fffaraz/awesome-cpp
x64dbg,x64dbg,41100,https://github.com/x64dbg/x64dbg
youngyangyang04,leetcode-master,40000,https://github.com/youngyangyang04/leetcode-master
Light-City,CPlusPlusThings,31200,https://github.com/Light-City/CPlusPlusThings
carbon-language,carbon-lang,30800,https://github.com/carbon-language/carbon-lang
yuzu-emu,yuzu,29600,https://github.com/yuzu-emu/yuzu
huihut,interview,29400,https://github.com/huihut/interview
CMU-Perceptual-Computing-Lab,openpose,27400,https://github.com/CMU-Perceptual-Computing-Lab/openpose
microsoft,calculator,27300,https://github.com/microsoft/calculator
TheAlgorithms,C-Plus-Plus,24800,https://github.com/TheAlgorithms/C-Plus-Plus
doocs,leetcode,22500,https://github.com/doocs/leetcode
changkun,modern-cpp-tutorial,21100,https://github.com/changkun/modern-cpp-tutorial
ethereum,solidity,20400,https://github.com/ethereum/solidity
dragonflydb,dragonfly,20300,https://github.com/dragonflydb/dragonfly
microsoft,vcpkg,19100,https://github.com/microsoft/vcpkg
gabime,spdlog,19000,https://github.com/gabime/spdlog
ssloy,tinyrenderer,17300,https://github.com/ssloy/tinyrenderer
