username,repo_name,stars,repo_url
Genymobile,scrcpy,87300,https://github.com/Genymobile/scrcpy
neovim,neovim,67200,https://github.com/neovim/neovim
obsproject,obs-studio,48800,https://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,47300,https://github.com/fffaraz/awesome-cpp
git,git,46700,https://github.com/git/git
FFmpeg,FFmpeg,37100,https://github.com/FFmpeg/FFmpeg
serhii-londar,open-source-mac-os-apps,36000,https://github.com/serhii-londar/open-source-mac-os-apps
vim,vim,30600,https://github.com/vim/vim
curl,curl,30600,https://github.com/curl/curl
huihut,interview,29400,https://github.com/huihut/interview
ggreer,the_silver_searcher,25000,https://github.com/ggreer/the_silver_searcher
pbatard,rufus,23800,https://github.com/pbatard/rufus
mpv-player,mpv,22800,https://github.com/mpv-player/mpv
ossrs,srs,22100,https://github.com/ossrs/srs
google,flatbuffers,20700,https://github.com/google/flatbuffers
ruby,ruby,20500,https://github.com/ruby/ruby
kovidgoyal,kitty,19200,https://github.com/kovidgoyal/kitty
microsoft,vcpkg,19100,https://github.com/microsoft/vcpkg
oracle,graal,18800,https://github.com/oracle/graal
radareorg,radare2,18300,https://github.com/radareorg/radare2
