username,repo_name,stars,repo_url
electron,electron,108000,https://github.com/electron/electron
puppeteer,puppeteer,83800,https://github.com/puppeteer/puppeteer
microsoft,playwright,52700,https://github.com/microsoft/playwright
FiloSottile,mkcert,41600,https://github.com/FiloSottile/mkcert
iamadamdev,bypass-paywalls-chrome,38500,https://github.com/iamadamdev/bypass-paywalls-chrome
jaywcjlove,linux-command,24300,https://github.com/jaywcjlove/linux-command
ovity,octotree,22500,https://github.com/ovity/octotree
segmentio,nightmare,19400,https://github.com/segmentio/nightmare
checkly,headless-recorder,14800,https://github.com/checkly/headless-recorder
google,WebFundamentals,13800,https://github.com/google/WebFundamentals
schickling,chromeless,13200,https://github.com/schickling/chromeless
GoogleChrome,chrome-extensions-samples,12600,https://github.com/GoogleChrome/chrome-extensions-samples
casesandberg,react-color,11500,https://github.com/casesandberg/react-color
gildas-lormeau,SingleFile,11400,https://github.com/gildas-lormeau/SingleFile
crimx,ext-saladict,10900,https://github.com/crimx/ext-saladict
MetaMask,metamask-extension,10200,https://github.com/MetaMask/metamask-extension
chromedp,chromedp,9200,https://github.com/chromedp/chromedp
uBlock-LLC,uBlock,8100,https://github.com/uBlock-LLC/uBlock
moonD4rk,HackBrowserData,8000,https://github.com/moonD4rk/HackBrowserData
Kenshin,simpread,7300,https://github.com/Kenshin/simpread
