username,repo_name,stars,repo_url
vercel,next.js,109000,https://github.com/vercel/next.js
rust-lang,rust,83200,https://github.com/rust-lang/rust
sveltejs,svelte,70700,https://github.com/sveltejs/svelte
webpack,webpack,63200,https://github.com/webpack/webpack
gatsbyjs,gatsby,54600,https://github.com/gatsbyjs/gatsby
JetBrains,kotlin,45100,https://github.com/JetBrains/kotlin
parcel-bundler,parcel,42500,https://github.com/parcel-bundler/parcel
babel,babel,42400,https://github.com/babel/babel
evanw,esbuild,35600,https://github.com/evanw/esbuild
vlang,v,33900,https://github.com/vlang/v
carbon-language,carbon-lang,30800,https://github.com/carbon-language/carbon-lang
markedjs,marked,30000,https://github.com/markedjs/marked
swc-project,swc,27900,https://github.com/swc-project/swc
ziglang,zig,23800,https://github.com/ziglang/zig
vercel,pkg,23500,https://github.com/vercel/pkg
v8,v8,21400,https://github.com/v8/v8
typst,typst,19200,https://github.com/typst/typst
AssemblyScript,assemblyscript,15700,https://github.com/AssemblyScript/assemblyscript
RustPython,RustPython,15200,https://github.com/RustPython/RustPython
nim-lang,Nim,15200,https://github.com/nim-lang/Nim
