username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,103000,https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,89100,https://github.com/angular/angular
storybookjs,storybook,79300,https://github.com/storybookjs/storybook
leonardomso,33-js-concepts,56700,https://github.com/leonardomso/33-js-concepts
ionic-team,ionic-framework,49100,https://github.com/ionic-team/ionic-framework
prettier,prettier,45900,https://github.com/prettier/prettier
Asabeneh,30-Days-Of-JavaScript,37000,https://github.com/Asabeneh/30-Days-Of-JavaScript
SheetJS,sheetjs,33100,https://github.com/SheetJS/sheetjs
angular,angular-cli,26200,https://github.com/angular/angular-cli
angular,components,23600,https://github.com/angular/components
NativeScript,NativeScript,22700,https://github.com/NativeScript/NativeScript
goldbergyoni,javascript-testing-best-practices,21700,https://github.com/goldbergyoni/javascript-testing-best-practices
jhipster,generator-jhipster,20700,https://github.com/jhipster/generator-jhipster
pubkey,rxdb,19400,https://github.com/pubkey/rxdb
nrwl,nx,18100,https://github.com/nrwl/nx
teambit,bit,16800,https://github.com/teambit/bit
wailsapp,wails,16700,https://github.com/wailsapp/wails
sudheerj,javascript-interview-questions,16700,https://github.com/sudheerj/javascript-interview-questions
sweetalert2,sweetalert2,16000,https://github.com/sweetalert2/sweetalert2
jasontaylordev,CleanArchitecture,12500,https://github.com/jasontaylordev/CleanArchitecture
