username,repo_name,stars,repo_url
ansible,ansible,57900,https://github.com/ansible/ansible
bregman-arie,devops-exercises,44600,https://github.com/bregman-arie/devops-exercises
trailofbits,algo,27400,https://github.com/trailofbits/algo
MichaelCade,90DaysOfDevOps,23000,https://github.com/MichaelCade/90DaysOfDevOps
StreisandEffect,streisand,23000,https://github.com/StreisandEffect/streisand
kubernetes-sigs,kubespray,14200,https://github.com/kubernetes-sigs/kubespray
ansible,awx,12400,https://github.com/ansible/awx
easzlab,kubeasz,9300,https://github.com/easzlab/kubeasz
geerlingguy,ansible-for-devops,7200,https://github.com/geerlingguy/ansible-for-devops
ansible-semaphore,semaphore,7100,https://github.com/ansible-semaphore/semaphore
khuedoan,homelab,7000,https://github.com/khuedoan/homelab
Tikam02,DevOps-Guide,6900,https://github.com/Tikam02/DevOps-Guide
geerlingguy,mac-dev-playbook,5400,https://github.com/geerlingguy/mac-dev-playbook
rundeck,rundeck,5000,https://github.com/rundeck/rundeck
KubeOperator,KubeOperator,4700,https://github.com/KubeOperator/KubeOperator
clong,DetectionLab,4200,https://github.com/clong/DetectionLab
netbootxyz,netboot.xyz,4200,https://github.com/netbootxyz/netboot.xyz
litmuschaos,litmus,3700,https://github.com/litmuschaos/litmus
ansible-community,molecule,3600,https://github.com/ansible-community/molecule
opendevops-cn,opendevops,3500,https://github.com/opendevops-cn/opendevops
